P_ID,JOURNAL/CONFERENCE,PUBLICATION YEAR,PUBLICATION AGE,CITATION COUNT,CITATION AGE
63EA967F,C,2003,5,1,1

5C76FFBF,C,2008,,0,0

7E5EA637,C,2015,0,1,1

75886934,C,1999,,0,0

7E5EA635,C,1988,,0,0

17F88AFE,C,1992,,0,0

75886933,J,1995,19,1,1

75886930,J,2010,,0,0

75886931,J,2011,3,2,1

78F2E4DA,J,1996,19,23,12

7703F335,J,1939,,0,0

7703F334,J,2001,2,1,1

17F88AF2,C,1972,,0,0

17F88AF5,C,1993,,0,0

32D18E27,C,2015,,0,0

7703F332,J,1987,,0,0

5FCFA1D1,C,2007,,0,0

8386A262,C,1970,,0,0

8386A260,C,2008,,0,0

837CF930,C,1838,,0,0

5FCFA1D8,J,1982,18,11,9

837CF936,C,1983,,0,0

333060DF,C,1986,,0,0

18473B73,C,2010,,0,0

066B7896,C,2006,,0,0

7B2C74F9,C,1992,2,1,1

7FBEEF4F,J,1994,,0,0

68D9EBF3,C,2005,,0,0

859AE124,C,1997,,0,0

0AF4AEDD,C,2000,,0,0

7B2C74F2,C,2010,0,1,1

8520DB7F,C,2010,,0,0

5B1C971B,J,1990,,0,0

5B1C971C,C,2012,3,2,2

04C84CD9,C,1979,,0,0

0BEA7534,C,2010,,0,0

699B46A2,C,2007,,0,0

671E0159,C,2014,,0,0

699B46A6,C,2007,,0,0

7A8F82D5,J,2001,,0,0

699B46A9,C,2002,,0,0

6617C9F7,J,2013,,0,0

7D099A7C,C,2015,,0,0

02DDEF77,C,2007,,0,0

7D099A7F,J,1975,,0,0

26E107EE,C,1988,,0,0

65E7C7C4,C,1999,16,1,1

5892A27A,C,2008,,0,0

5E9D668C,J,2014,,0,0

859AE122,C,2002,,0,0

17066A3C,C,1992,,0,0

1405B1C2,C,1991,,0,0

0268ACC6,C,2013,,0,0

75D94614,J,2009,6,8,5

75D94615,J,2011,,0,0

75D94616,J,2000,14,1,1

853D82A8,C,2013,,0,0

75D94612,J,1989,,0,0

75D94613,C,1969,,0,0

853D82A4,C,2010,,0,0

75D94618,J,2010,6,4,3

018254F1,J,1997,,0,0

75D9461C,J,1997,16,8,8

5AC5EDFF,J,1993,10,2,2

2D8A3D6C,C,2012,,0,0

7C85913B,J,1985,,0,0

46750B7D,C,2005,,0,0

078F0C28,C,2011,,0,0

17066A32,C,2007,,0,0

01B49A43,C,2003,,0,0

17066A36,C,1970,,0,0

0E624CC6,J,1967,,0,0

7D099A73,C,2014,,0,0

0A1B9419,J,2000,14,6,5

5CA27E04,C,1983,,0,0

18BEAADD,C,2015,,0,0

61B57142,C,2015,,0,0

750271E9,C,1999,16,247,17

5A97A222,C,1975,38,3,2

0A1B9416,C,1984,,0,0

0989F165,C,2012,3,5,3

699B46AA,C,2010,,0,0

63B025FB,C,1983,,0,0

13646795,C,2006,3,1,1

671E015D,C,2005,,0,0

5A801EC1,C,2011,,0,0

6E41653F,C,2003,,0,0

7D27C6A8,J,2014,0,1,1

754AB3D1,J,2008,,0,0

76F825BA,J,2008,7,23,6

7D27C6A0,J,1974,41,19,14

1298F183,C,2012,,0,0

109530FF,J,2003,7,5,4

8428E0F6,C,2007,,0,0

7B9FCD81,J,2014,,0,0

7B9FCD80,J,1995,20,53,19

59A51B23,C,1979,,0,0

7F5383E6,J,2015,,0,0

2469EDEC,C,2012,,0,0

7B9FCD84,J,2014,,0,0

5F0A61B3,C,1912,,0,0

038ADF10,C,1981,26,6,5

7681D4BA,J,1988,24,4,4

8428E0F9,C,1966,,0,0

6E0A21C5,J,2000,,0,0

7BE06CDF,J,2015,,0,0

3670BD99,C,1965,,0,0

5FA6E04B,J,1967,42,3,2

7639FF44,J,1976,33,5,5

07312444,C,1997,9,1,1

7978F9DC,J,1982,,0,0

6401C321,C,1984,,0,0

38F63EF0,C,1973,,0,0

1724F787,C,1997,,0,0

3D7FC6C2,C,2002,,0,0

777BE513,J,1992,19,4,4

3D7FC6CA,C,2012,,0,0

1724F78D,C,1978,,0,0

15DE1255,C,1974,,0,0

7DF6354B,C,1993,,0,0

30773A15,J,2012,,0,0

16C0F8C2,C,2014,,0,0

5FA6E047,C,1979,9,5,3

8248C2CB,C,1986,,0,0

0135A8C2,C,2007,,0,0

716F638C,C,2005,,0,0

109530F5,C,2013,,0,0

7B9FCD8F,C,2009,,0,0

267AE052,C,1912,,0,0

16402EF5,C,2011,,0,0

7962BEFE,J,2013,,0,0

760B00E6,J,2013,,0,0

74DF5C19,C,2008,,0,0

074FD052,C,2011,,0,0

396A6571,C,2014,,0,0

76F825B2,J,2013,,0,0

45ED45A9,C,2014,,0,0

7D27C6AB,C,1964,41,5,5

7D27C6AC,C,2008,4,3,3

76F825B9,J,2011,2,1,1

34762171,C,1998,,0,0

755DADF7,J,1959,13,8,7

755DADF4,J,2009,0,1,1

1571FA88,C,2014,,0,0

755DADF1,C,2014,,0,0

456ABCD7,C,2015,,0,0

430E4A5A,C,2013,,0,0

02E73CDF,C,1998,4,1,1

1571FA86,C,2005,,0,0

78A1BF91,C,1978,,0,0

78A1BF92,J,2002,,0,0

84641B55,C,2013,,0,0

85F5A74B,J,1936,77,2,2

08CB13B0,C,1941,,0,0

8198D3BA,J,2010,4,4,3

3A2186E1,C,1996,,0,0

3A2186E6,C,2010,,0,0

03A17B17,C,2014,,0,0

0E60727E,C,2014,,0,0

4366F82A,C,1992,,0,0

7F8768DE,C,2014,,0,0

7A87DE0C,J,2012,3,8,4

7A87DE0A,C,2012,,0,0

7A87DE0E,J,1996,4,2,2

09B042B0,C,2011,,0,0

39FFF707,C,2000,,0,0

25A7B18C,C,1935,,0,0

7DC57F19,J,2010,5,14,5

10F10663,C,1995,,0,0

004F095B,C,2015,0,1,1

032B99FF,J,2010,,0,0

76FD4FBE,J,1997,18,1,1

7BB39685,J,1987,26,1,1

7BB39684,C,2006,,0,0

7BB39683,J,1991,19,1,1

7BB39682,J,1988,27,94,27

7BB39680,J,2002,7,1,1

5CEDD8E4,C,1999,,0,0

2F9B3BA4,J,2007,6,1,1

147C2B99,J,2008,,0,0

817B8C67,C,2014,,0,0

7BB3968E,J,1929,,0,0

7DC57F1E,C,1997,,0,0

7BB3968B,J,1980,33,7,6

584E74D9,J,2006,,0,0

147C2B95,C,2004,,0,0

7A87DE03,J,1993,18,10,9

7A87DE01,J,1959,,0,0

793BBF5B,C,2008,,0,0

7A87DE04,J,1987,,0,0

09B3102E,C,2012,,0,0

7A87DE09,J,2015,,0,0

43DC0D9E,C,1990,,0,0

25A7B182,C,1986,,0,0

793BB442,J,1984,,0,0

5A6E2BC8,C,1991,,0,0

3A2186EC,C,1991,,0,0

7F8768D9,J,2011,2,1,1

85F5A747,J,1996,1,1,1

7BE84C32,J,1958,37,5,4

134F2EA7,C,2015,,0,0

8198D3B8,C,2009,,0,0

7F8768D4,C,2005,10,36,10

134F2EA1,C,2016,,0,0

04EE8FD5,C,2001,,0,0

85D84121,C,2009,,0,0

719C4AE2,C,2015,,0,0

719C4AE1,C,1960,,0,0

04EE8FD9,C,1983,,0,0

78A1BF9B,C,2009,4,1,1

5F6198DD,C,2013,,0,0

24D5F5AE,C,2009,,0,0

75FB4BE4,J,2014,,0,0

8337A5DD,C,2015,,0,0

8337A5DA,C,2002,,0,0

5B54B552,C,2003,,0,0

5B54B553,C,2006,9,13,6

0FC4AD0B,C,1966,,0,0

0FC4AD0C,C,2012,,0,0

5E0898A6,C,2011,,0,0

0F8CFC96,C,2016,,0,0

25204F8B,C,2013,,0,0

143786BC,C,1983,,0,0

143786BE,C,2002,,0,0

132C4678,C,2010,,0,0

5B726A66,J,1970,45,11,10

76E9ADDF,J,2008,,0,0

5B4CEFFF,C,2005,,0,0

00FF8BC8,J,2000,15,18,9

85FD1AD2,C,1981,,0,0

818F00DE,C,2012,,0,0

167FEF93,J,1931,,0,0

0EDD24A4,C,1967,1,1,1

